Date,Open,High,Low,Close,AdjClose,Volume
2024-8-19, 76.58, 76.87, 74.17, 74.37, 74.37, 118172
2024-8-16, 78.16, 78.16, 75.54, 76.65, 76.65, 100810
2024-8-15, 77.52, 78.60, 76.93, 78.16, 78.16, 195122
2024-8-14, 78.73, 79.10, 76.83, 76.98, 76.98, 357636
2024-8-13, 79.74, 80.15, 78.16, 78.35, 78.35, 370763
2024-8-12, 76.99, 80.16, 76.70, 80.06, 80.06, 376747
2024-8-9, 76.02, 77.09, 75.85, 76.84, 76.84, 263007
2024-8-8, 75.47, 76.52, 74.60, 76.19, 76.19, 327301
2024-8-7, 72.84, 75.84, 72.58, 75.23, 75.23, 427995
2024-8-6, 73.86, 74.56, 72.20, 73.20, 73.20, 352250
2024-8-5, 74.21, 74.46, 71.67, 72.94, 72.94, 500151
2024-8-2, 76.87, 77.29, 72.97, 73.52, 73.52, 467786
2024-8-1, 78.59, 78.88, 76.24, 76.31, 76.31, 383014
2024-7-31, 75.24, 78.66, 75.18, 77.91, 77.91, 460315
2024-7-30, 75.91, 75.97, 74.59, 74.73, 74.73, 419478
2024-7-29, 77.30, 77.69, 75.35, 75.81, 75.81, 362635
2024-7-26, 78.35, 78.60, 76.19, 77.16, 77.16, 365121
2024-7-25, 77.50, 78.47, 76.04, 78.28, 78.28, 457288
2024-7-24, 77.45, 78.19, 76.98, 77.59, 77.59, 355971
2024-7-23, 78.27, 78.73, 76.40, 76.96, 76.96, 417941
2024-7-22, 80.39, 80.69, 79.17, 79.78, 79.78, 345235
2024-7-19, 82.47, 82.88, 80.07, 80.13, 80.13, 83795
2024-7-18, 83.11, 83.82, 82.04, 82.82, 82.82, 95704
2024-7-17, 80.85, 83.10, 80.45, 82.85, 82.85, 257437
2024-7-16, 81.92, 81.93, 80.22, 80.76, 80.76, 308186
2024-7-15, 82.16, 82.58, 81.47, 81.91, 81.91, 296520
2024-7-12, 82.86, 83.74, 82.10, 82.21, 82.21, 370062
2024-7-11, 82.40, 83.13, 81.63, 82.62, 82.62, 324170
2024-7-10, 81.81, 82.66, 80.81, 82.10, 82.10, 334380
2024-7-9, 82.22, 82.48, 81.25, 81.41, 81.41, 297325
2024-7-8, 83.15, 83.32, 82.08, 82.33, 82.33, 251774
2024-7-5, 83.60, 84.52, 83.02, 83.16, 83.16, 361357
2024-7-3, 83.20, 83.93, 82.46, 83.88, 83.88, 289685
2024-7-2, 83.43, 84.38, 82.72, 82.81, 82.81, 367787
2024-7-1, 81.45, 83.64, 81.38, 83.38, 83.38, 345780
2024-6-28, 81.86, 82.72, 80.97, 81.54, 81.54, 260252
2024-6-27, 80.86, 82.04, 80.51, 81.74, 81.74, 306342
2024-6-26, 80.72, 81.63, 80.18, 80.90, 80.90, 308410
2024-6-25, 81.70, 81.90, 80.55, 80.83, 80.83, 286038
2024-6-24, 80.45, 81.78, 80.23, 81.63, 81.63, 271745
2024-6-21, 81.27, 81.79, 80.35, 80.73, 80.73, 290500
2024-6-20, 81.52, 82.41, 81.13, 82.17, 82.17, 420499
2024-6-18, 80.43, 81.67, 79.77, 81.57, 81.57, 140709
2024-6-17, 78.48, 80.66, 77.98, 80.33, 80.33, 126733
2024-6-14, 77.96, 79.15, 77.73, 78.45, 78.45, 245827
2024-6-13, 78.37, 78.89, 77.67, 78.62, 78.62, 307638
